Nome,Desenvolvedor,Distribuidora,Indie,Quantidade de Review,Review Médio,Plataforma,Singleplayer,Multiplayer,Data de Lançamento,Linguagens Interface,Linguagens Dublagem,Linguagens Legenda,Processador,Memória Ram,Placa de Vídeo,Espaço em Disco,Preço
Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment ",Valve ,Não,5053613,Very Positive,3,Não,Sim,21 Aug 2012,28,1,0,,,,,Free To Play
Tom Clancy's Rainbow Six® Siege,Ubisoft Montreal ,Ubisoft ,Não,672417,Very Positive,1,Sim,Sim,1 Dec 2015,16,8,15,INTEL-CORE-I5-2500K,8,NVIDIA-GEFORCE-GTX-670,61,"59,99"
Phasmophobia,Kinetic Games ,Kinetic Games ,Não,145739,Overwhelmingly Positive,1,Não,Sim,18 Sep 2020,25,1,0,outros,8,NVIDIA-GTX-970,18,"27,89"
Among Us,Innersloth ,Innersloth ,Não,381261,Overwhelmingly Positive,1,Não,Sim,16 Nov 2018,6,0,0,,,,,"10,89"
Hades,Supergiant Games ,Supergiant Games ,Sim,86806,Overwhelmingly Positive,2,Sim,Não,17 Sep 2020,10,1,10,outros,8,outros,20,"47,49"
Dead by Daylight,Behaviour Interactive Inc. ,Behaviour Interactive Inc. ,Não,294141,Very Positive,1,Não,Sim,14 Jun 2016,15,3,17,INTEL-CORE-I3-4170,8,GEFORCE-760,50,"36,99"
Grand Theft Auto V,Rockstar North ,Rockstar Games ,Não,869213,Very Positive,1,Sim,Sim,14 Apr 2015,13,1,13,INTEL-CORE-I5-3470,8,NVIDIA-GTX-660,72,"69,99"
Fall Guys: Ultimate Knockout,Mediatonic ,Devolver Digital ,Sim,282556,Very Positive,1,Não,Sim,3 Aug 2020,11,0,10,,,,,"37,99"
The Elder Scrolls® Online,Zenimax Online Studios ,Bethesda Softworks ,Não,72658,Very Positive,2,Sim,Sim,4 Apr 2014,4,3,4,outros,8,outros,85,"294,98"
PLAYERUNKNOWN'S BATTLEGROUNDS,"KRAFTON, Inc. ","KRAFTON, Inc. ",Não,1346258,Mixed,1,Não,Sim,21 Dec 2017,17,0,0,INTEL-CORE-I5-6600K,16,NVIDIA-GEFORCE-GTX-1060,30,"75,00"
Dying Light,Techland ,Techland Publishing ,Não,151327,Overwhelmingly Positive,3,Não,Não,26 Jan 2015,17,7,17,outros,8,outros,,"157,27"
Sea of Thieves,Rare Ltd ,Xbox Game Studios ,Não,59339,Overwhelmingly Positive,1,Sim,Sim,3 Jun 2020,12,1,12,outros,8,NVIDIA-GEFORCE-GTX-770,50,"89,99"
Monster Hunter: World,"CAPCOM Co., Ltd. ","CAPCOM Co., Ltd. ",Não,176327,Mixed,1,Sim,Sim,9 Aug 2018,13,6,13,outros,8,outros,48,"69,99"
eFootball PES 2021 SEASON UPDATE,Konami Digital Entertainment ,Konami Digital Entertainment ,Não,7346,Very Positive,1,Sim,Sim,15 Sep 2020,15,12,0,INTEL-CORE-I7-3770,8,NVIDIA-GTX-760,40,"99,90"
Raft,Redbeet Interactive ,Axolot Games ,Sim,71091,Overwhelmingly Positive,1,Sim,Sim,23 May 2018,12,1,0,INTEL-CORE-I5-2,8,GEFORCE-GTX-700,6,"36,99"
Euro Truck Simulator 2,SCS Software ,SCS Software ,Sim,274946,Overwhelmingly Positive,3,Sim,Não,18 Oct 2012,24,0,0,outros,6,GEFORCE-GTX-760,,"39,99"
FINAL FANTASY XIV Online,Square Enix ,Square Enix ,Não,26009,Very Positive,1,Sim,Sim,18 Feb 2014,4,4,4,outros,8,outros,60,"52,99"
Rust,Facepunch Studios ,Facepunch Studios ,Sim,393743,Very Positive,2,Não,Sim,8 Feb 2018,25,13,13,INTEL-CORE-I7-4790K,16,outros,20,"75,49"
Stardew Valley,ConcernedApe ,ConcernedApe ,Sim,241731,Overwhelmingly Positive,3,Sim,Sim,26 Feb 2016,12,0,0,,,,,"24,99"
Team Fortress 2,Valve ,Valve ,Não,733040,Very Positive,3,Não,Sim,10 Oct 2007,26,1,0,outros,1,,15,Free To Play
Don't Starve Together,Klei Entertainment ,Klei Entertainment ,Sim,144155,Overwhelmingly Positive,3,Sim,Sim,21 Apr 2016,2,1,0,,,,,"27,99"
STAR WARS™ Battlefront™ II,DICE ,Electronic Arts ,Não,8615,Very Positive,1,Sim,Sim,16 Nov 2017,11,8,0,outros,16,outros,60,"159,00"
DayZ,Bohemia Interactive ,Bohemia Interactive ,Não,207661,Very Positive,1,Não,Sim,13 Dec 2018,12,0,12,INTEL-CORE-I5-6600K,12,NVIDIA-GEFORCE-GTX-1060,25,"78,99"
Terraria,Re-Logic ,Re-Logic ,Sim,504980,Overwhelmingly Positive,3,Sim,Sim,16 May 2011,9,0,0,outros,4,,,"19,99"
The Forest,Endnight Games Ltd ,Endnight Games Ltd ,Não,186224,Overwhelmingly Positive,1,Sim,Não,30 Apr 2018,16,1,0,outros,4,NVIDIA-GEFORCE-GTX-560,5,"37,99"
American Truck Simulator,SCS Software ,SCS Software ,Sim,52593,Overwhelmingly Positive,3,Sim,Sim,2 Feb 2016,24,0,0,outros,6,GEFORCE-GTX-760,4,"56,00"
Cities: Skylines,Colossal Order Ltd. ,Paradox Interactive ,Não,104741,Overwhelmingly Positive,3,Sim,Não,10 Mar 2015,9,0,9,INTEL-CORE-I5-3470,6,NVIDIA-GEFORCE-GTX-660,4,"55,99"
Battlefield 4™,DICE ,Electronic Arts ,Não,6487,Very Positive,1,Sim,Sim,29 Oct 2013,12,9,0,outros,8,outros,30,"356,50"
F1® 2020,Codemasters ,Codemasters ,Não,10593,Overwhelmingly Positive,1,Sim,Sim,9 Jul 2020,11,8,11,INTEL-CORE-I5-9600K,16,NVIDIA-GTX-1660-TI,80,"109,99"
Age of Empires II: Definitive Edition,"Forgotten Empires, Tantalus Media, Wicked Witch ",Xbox Game Studios ,Não,56299,Overwhelmingly Positive,1,Sim,Sim,14 Nov 2019,14,8,14,outros,8,outros,30,"36,99"
theHunter: Call of the Wild™,Expansive Worlds ,Expansive Worlds ,Não,51060,Very Positive,1,Sim,Sim,16 Feb 2017,10,1,10,outros,8,NVIDIA-GTX-760,36,"37,99"
Tabletop Simulator,Berserk Games ,Berserk Games ,Não,22253,Overwhelmingly Positive,3,Sim,Sim,5 Jun 2015,1,0,0,,,,,"36,99"
Deep Rock Galactic,Ghost Ship Games ,Coffee Stain Publishing ,Não,53871,Overwhelmingly Positive,1,Sim,Sim,13 May 2020,15,1,15,outros,8,NVIDIA-970,3,"69,60"
Age of Empires III: Definitive Edition,"Tantalus Media, Forgotten Empires ",Xbox Game Studios ,Não,10909,Mostly Positive,1,Sim,Sim,15 Oct 2020,13,7,13,outros,16,GEFORCE-GTX-980,42,"36,99"
Hollow Knight,Team Cherry ,Team Cherry ,Sim,108887,Overwhelmingly Positive,3,Sim,Não,24 Feb 2017,10,10,10,outros,8,GEFORCE-GTX-560,9,"27,99"
Frostpunk,11 bit studios ,11 bit studios ,Não,47901,Very Positive,1,Sim,Não,24 Apr 2018,12,1,12,outros,8,GEFORCE-970,8,"81,66"
Farming Simulator 19,Giants Software ,Focus Home Interactive ,Não,29704,Overwhelmingly Positive,2,Sim,Sim,19 Nov 2018,18,0,0,,,,,"69,90"
Left 4 Dead 2,Valve ,Valve ,Não,293340,Overwhelmingly Positive,3,Sim,Sim,16 Nov 2009,28,5,0,INTEL-CORE-2-DUO,2,NVIDIA-7600,13,"20,69"
ARK: Survival Evolved,"Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC ",Studio Wildcard ,Sim,303914,Very Positive,3,Sim,Sim,27 Aug 2017,21,21,0,,,,,"93,99"
Planet Zoo,Frontier Developments ,Frontier Developments  ,Não,29439,Very Positive,1,Sim,Não,5 Nov 2019,18,11,18,outros,16,NVIDIA-GEFORCE-GTX-1070,16,"100,00"
Cuphead,Studio MDHR Entertainment Inc. ,Studio MDHR Entertainment Inc. ,Sim,56883,Overwhelmingly Positive,2,Sim,Sim,29 Sep 2017,12,0,0,,,,,"36,99"
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,CyberConnect2 Co. Ltd. ,BANDAI NAMCO Entertainment ,Não,29444,Very Positive,1,Sim,Sim,4 Feb 2016,12,4,12,,,,,"97,00"
PAYDAY 2,OVERKILL - a Starbreeze Studio. ,Starbreeze Publishing AB ,Não,290795,Overwhelmingly Positive,2,Sim,Sim,13 Aug 2013,9,1,9,,,,,"19,99"
Arma 3,Bohemia Interactive ,Bohemia Interactive ,Não,129059,Very Positive,1,Sim,Sim,12 Sep 2013,14,1,14,INTEL-CORE-I5-4460,8,NVIDIA-GEFORCE-GTX-660,,"69,99"
House Flipper,Empyrean ,"Frozen District, PlayWay S.A. ",Sim,30275,Overwhelmingly Positive,2,Sim,Sim,17 May 2018,21,0,21,INTEL-CORE-I5-8400,8,GEFORCE-GTX-970,6,"37,99"
Garry's Mod,Facepunch Studios ,Valve ,Sim,532602,Overwhelmingly Positive,3,Sim,Sim,29 Nov 2006,25,1,1,outros,8,outros,20,"19,99"
The Witcher® 3: Wild Hunt,CD PROJEKT RED ,CD PROJEKT RED ,Não,410541,Overwhelmingly Positive,1,Sim,Não,18 May 2015,16,7,16,INTEL-CPU-CORE-I7-3770,8,GEFORCE-GTX-770,35,"79,99"
Gang Beasts,"Boneloaf, Coatsink ",Boneloaf ,Sim,21094,Very Positive,3,Sim,Sim,12 Dec 2017,6,0,0,outros,8,outros,2,"14,49"
Katana ZERO,Askiisoft ,Devolver Digital ,Sim,27016,Overwhelmingly Positive,2,Sim,Não,18 Apr 2019,10,0,10,INTEL-CORE-I3-3240,2,GEFORCE-8800,0.2,"20,51"
In Silence,Ravenhood Games ,Ravenhood Games ,Não,3501,Very Positive,2,Sim,Sim,16 Oct 2020,9,0,0,outros,8,outros,4,"20,69"
Pummel Party,Rebuilt Games ,Rebuilt Games ,Sim,17249,Very Positive,1,Não,Sim,20 Sep 2018,10,10,10,,,,,"28,99"
Warhammer: Vermintide 2,Fatshark ,Fatshark ,Sim,44339,Very Positive,1,Sim,Sim,8 Mar 2018,9,1,9,INTEL-CORE-I7-,8,NVIDIA-GEFORCE-GTX-970,85,"57,99"
iRacing,"iRacing.com Motorsport Simulations, iRacing ","iRacing.com Motorsport Simulations, iRacing ",Não,752,Very Positive,1,Sim,Sim,12 Jan 2015,1,1,1,outros,8,NVIDIA-2080-TI,32,Indisponível
Conan Exiles,Funcom ,Funcom ,Não,42325,Very Positive,1,Sim,Sim,8 May 2018,12,1,12,INTEL-QUAD-CORE-I7-3770K,8,NVIDIA-GEFORCE-GTX-780-TI,69,"99,49"
Assetto Corsa,Kunos Simulazioni ,Kunos Simulazioni ,Não,29301,Very Positive,1,Sim,Sim,19 Dec 2014,4,0,0,outros,6,NVIDIA-GEFORCE-GTX-970,30,"37,99"
Hell Let Loose,Black Matter Pty Ltd ,Team17 Digital Ltd ,Sim,18889,Very Positive,1,Sim,Sim,6 Jun 2019,10,0,0,outros,16,NVIDIA-GTX-1070,20,"79,90"
SCUM,Gamepires ,Gamepires ,Sim,37181,Very Positive,1,Sim,Sim,29 Aug 2018,11,1,11,INTEL-CORE-I5-6600K,16,NVIDIA-GEFORCE-GTX-1060,50,"57,99"
BeamNG.drive,BeamNG ,BeamNG ,Não,46761,Overwhelmingly Positive,1,Sim,Sim,29 May 2015,1,0,0,INTEL-CORE-I7-6700,16,NVIDIA-GEFORCE-GTX-970,20,"47,49"
Medieval Dynasty,Render Cube ,Toplitz Productions ,Não,10159,Overwhelmingly Positive,1,Sim,Não,17 Sep 2020,15,0,0,outros,16,GEFORCE-GTX-1060,10,"79,99"
Wolcen: Lords of Mayhem,WOLCEN Studio ,WOLCEN Studio ,Sim,53050,Mixed,1,Sim,Sim,13 Feb 2020,9,1,9,INTEL-CORE-I7-4770,16,NVIDIA-GEFORCE-GTX-1060,18,"75,49"
Space Engineers,Keen Software House ,Keen Software House ,Sim,71963,Very Positive,1,Sim,Sim,28 Feb 2019,16,0,0,INTEL-QUAD-CORE-I7-,16,GEFORCE-1070,25,"109,99"
RimWorld,Ludeon Studios ,Ludeon Studios ,Sim,74205,Overwhelmingly Positive,3,Sim,Não,17 Oct 2018,23,0,0,,,,,"65,99"
Bloons TD 6,Ninja Kiwi ,Ninja Kiwi ,Não,39241,Overwhelmingly Positive,2,Sim,Sim,17 Dec 2018,16,0,0,outros,8.192,outros,4.096,"20,69"
Dead Space™ 3,Visceral Games ,Electronic Arts ,Não,1795,Very Positive,1,Sim,Sim,5 Feb 2013,6,5,6,,,,,"139,85"
Subnautica,Unknown Worlds Entertainment ,Unknown Worlds Entertainment ,Não,133942,Overwhelmingly Positive,2,Sim,Sim,23 Jan 2018,21,1,21,INTEL-HASWELL-4-,8,NVIDIA-GTX-550-TI,20,"47,49"
Black Desert Online SA,Pearl Abyss ,RedFox Games ,Não,6339,Very Positive,1,Não,Sim,17 Mar 2020,3,0,2,INTEL-CORE-I5-650,8,NVIDIA-GTX-970,27,"17,46"
Crusader Kings III,Paradox Development Studio ,Paradox Interactive ,Não,28055,Overwhelmingly Positive,3,Sim,Sim,1 Sep 2020,7,1,0,outros,8,outros,8,"93,99"
Borderlands 3,Gearbox Software ,2K ,Não,48404,Very Positive,1,Sim,Sim,13 Mar 2020,11,8,11,outros,16,NVIDIA-GEFORCE-GTX-1060,75,"119,90"
Green Hell,Creepy Jar ,Creepy Jar ,Sim,19722,Very Positive,1,Sim,Não,5 Sep 2019,19,1,19,outros,8,GEFORCE-970,8,"47,49"
Grand Theft Auto: San Andreas,Rockstar Games ,Rockstar Games ,Não,44223,Overwhelmingly Positive,1,Sim,Sim,6 Jun 2005,1,0,0,INTEL-PENTIUM-4-,0.384,GEFORCE-6,,"20,49"
Factorio,Wube Software LTD. ,Wube Software LTD. ,Sim,83474,Overwhelmingly Positive,3,Sim,Sim,14 Aug 2020,21,0,0,outros,8,GEFORCE-GTX-750-TI,3,Free To Play
Fallout 4,Bethesda Game Studios ,Bethesda Softworks ,Não,135289,Very Positive,1,Sim,Não,9 Nov 2015,10,6,10,INTEL-CORE-I7-4790,8,NVIDIA-GTX-780,30,"69,99"
South Park™: The Fractured But Whole™,Ubisoft San Francisco ,Ubisoft ,Não,13145,Very Positive,1,Sim,Não,16 Oct 2017,9,6,9,INTEL-CORE-I5-4690K,,NVIDIA-GEFORCE-GTX-670,20,"50,19"
Risk of Rain 2,Hopoo Games ,Gearbox Publishing ,Sim,89197,Overwhelmingly Positive,1,Sim,Sim,11 Aug 2020,11,0,0,INTEL-CORE-I5-4670K,4,outros,4,"59,99"
Teardown,Tuxedo Labs ,Tuxedo Labs ,Sim,10695,Overwhelmingly Positive,1,Sim,Não,29 Oct 2020,1,0,0,INTEL-CORE-I7-,4,NVIDIA-GEFORCE-GTX-1080,2,"37,99"
MORDHAU,Triternion ,Triternion ,Sim,66291,Very Positive,1,Não,Sim,29 Apr 2019,10,1,0,INTEL-CORE-I5-,16,NVIDIA-GTX-1060,40,"24,89"
The Binding of Isaac: Rebirth,"Nicalis, Inc. ","Nicalis, Inc. ",Não,103977,Overwhelmingly Positive,3,Sim,Não,4 Nov 2014,1,1,1,outros,8,GEFORCE-2,0.449,"27,99"
Automobilista 2,Reiza Studios ,Reiza Studios ,Não,1815,Very Positive,1,Não,Não,31 Mar 2020,1,1,1,INTEL-CORE-I7-8700K,16,NVIDIA-GTX-1080,50,"119,99"
Squad,Offworld Industries ,Offworld Industries ,Sim,50467,Overwhelmingly Positive,1,Não,Sim,23 Sep 2020,1,1,0,outros,16,NVIDIA-GTX-1060,55,"93,99"
Empire of Sin,Romero Games ,Paradox Interactive ,Não,1804,Mixed,2,Sim,Não,1 Dec 2020,9,1,9,outros,8,outros,10,"75,49"
Last Epoch,Eleventh Hour Games ,Eleventh Hour Games ,Sim,2903,Very Positive,2,Sim,Não,30 Apr 2019,1,1,0,INTEL-CORE-I5-6500,8,NVIDIA-GTX-1060,20,"65,99"
Phoenix Point: Year One Edition,Snapshot Games Inc. ,Snapshot Games Inc. ,Não,413,Mostly Positive,2,Não,Não,3 Dec 2020,8,1,8,INTEL-CORE-I5-3,16,NVIDIA-GEFORCE-GTX-1060,30,"109,99"
This War of Mine,11 bit studios ,11 bit studios ,Sim,55359,Very Positive,3,Sim,Não,14 Nov 2014,12,1,12,outros,4,GEFORCE-GTX-260,,"48,64"
Stellaris,Paradox Development Studio ,Paradox Interactive ,Não,65971,Very Positive,3,Sim,Sim,9 May 2016,8,0,0,outros,4,outros,10,"72,99"
Project Wingman,Sector D2 ,"Sector D2, Humble Games ",Não,1943,Very Positive,1,Sim,Não,1 Dec 2020,8,1,8,outros,8,outros,16,"47,49"
Hearts of Iron IV,Paradox Development Studio ,Paradox Interactive ,Não,81192,Very Positive,3,Sim,Sim,6 Jun 2016,7,0,0,INTEL-CORE-I5-750,4,outros,2,"72,99"
Hunt: Showdown,Crytek ,Crytek ,Não,56009,Very Positive,1,Não,Sim,27 Aug 2019,11,1,0,outros,12,NVIDIA-GEFORCE-GTX-970,20,"89,00"
Pacify,Shawn Hitchcock ,Hitchcock Games ,Sim,12473,Very Positive,2,Sim,Sim,22 Feb 2019,16,1,16,outros,8,outros,6,"10,89"
Deadside,Bad Pixel ,Bad Pixel ,Sim,13288,Very Positive,1,Sim,Sim,14 Apr 2020,5,0,0,outros,8,outros,20,"37,99"
Amazing Cultivation Simulator,GSQ Games ,Gamera Game ,Sim,10861,Very Positive,1,Não,Não,24 Nov 2020,2,2,2,,,,,"47,49"
Resident Evil 2,"CAPCOM Co., Ltd. ","CAPCOM Co., Ltd. ",Não,50304,Overwhelmingly Positive,1,Sim,Sim,24 Jan 2019,12,7,12,outros,8,outros,26,"89,99"
STAR WARS™ Battlefront,DICE ,Electronic Arts ,Não,764,Very Positive,1,Sim,Sim,16 Nov 2015,11,7,0,outros,16,outros,40,"59,00"
Age of Mythology: Extended Edition,"SkyBox Labs, Ensemble Studios ",Xbox Game Studios ,Não,16979,Overwhelmingly Positive,1,Sim,Sim,8 May 2014,8,8,0,outros,4,outros,5,"55,99"
Red Dead Online,Rockstar Games ,Rockstar Games ,Não,3076,Mostly Positive,1,Não,Sim,1 Dec 2020,13,1,13,outros,,NVIDIA-GEFORCE-GTX-1060,150,"28,00"
7 Days to Die,The Fun Pimps ,The Fun Pimps Entertainment LLC ,Sim,102824,Very Positive,3,Sim,Sim,13 Dec 2013,14,0,0,outros,12,outros,12,"44,99"
Overcooked! 2,"Ghost Town Games Ltd., Team17 Digital Ltd ",Team17 Digital Ltd ,Sim,17325,Overwhelmingly Positive,3,Sim,Sim,7 Aug 2018,12,0,12,outros,,NVIDIA-GEFORCE-GTX-650,,"59,90"
Half-Life: Alyx,Valve ,Valve ,Não,39708,Overwhelmingly Positive,1,Sim,Não,23 Mar 2020,28,1,28,,,,,"109,99"
Untitled Goose Game,House House ,Panic ,Sim,3498,Overwhelmingly Positive,2,Sim,Sim,23 Sep 2020,11,0,0,,,,,"37,99"
Street Fighter V,Capcom ,Capcom ,Não,16183,Very Positive,1,Sim,Sim,15 Feb 2016,13,2,13,INTEL-CORE-I5-4690K,8,outros,,"39,99"
DiRT Rally 2.0,Codemasters ,Codemasters ,Não,10165,Very Positive,1,Sim,Sim,25 Feb 2019,8,8,8,INTEL-CORE-I5-8600K,8,NVIDIA-GTX-1070,100,"47,49"
Human: Fall Flat,No Brakes Games ,Curve Digital ,Sim,89823,Overwhelmingly Positive,2,Sim,Sim,22 Jul 2016,16,1,16,outros,2.048,GEFORCE-GTX-460,0.5,"27,99"
Slime Rancher,Monomi Park ,Monomi Park ,Sim,46787,Overwhelmingly Positive,3,Sim,Não,1 Aug 2017,10,0,10,,,,,"36,99"
Jurassic World Evolution,Frontier Developments ,Frontier Developments ,Não,29809,Very Positive,1,Sim,Sim,12 Jun 2018,12,11,0,outros,12,NVIDIA-GEFORCE-GTX-1060,12,"79,99"
METAL GEAR SOLID V: THE PHANTOM PAIN,Konami Digital Entertainment ,Konami Digital Entertainment ,Não,38126,Very Positive,1,Sim,Sim,1 Sep 2015,8,2,8,INTEL-CORE-I7-4790,8,NVIDIA-GEFORCE-GTX-760,28,"129,00"
Worms Rumble,Team17 Digital Ltd ,Team17 Digital Ltd ,Sim,395,Very Positive,1,Não,Sim,1 Dec 2020,12,1,12,INTEL-CORE-I5-6600,8,outros,,"37,99"
Stick Fight: The Game,Landfall West ,Landfall ,Sim,50416,Overwhelmingly Positive,2,Não,Sim,28 Sep 2017,1,0,0,,,,,"10,49"
Portal 2,Valve ,Valve ,Não,174515,Overwhelmingly Positive,3,Não,Não,18 Apr 2011,22,5,0,,,,,"20,69"
Craftopia,"POCKET PAIR, Inc. ","POCKET PAIR, Inc. ",Sim,8614,Very Positive,1,Sim,Sim,4 Sep 2020,4,0,0,,,,,"47,49"
Castle Crashers®,The Behemoth ,The Behemoth ,Sim,52940,Overwhelmingly Positive,2,Não,Sim,26 Sep 2012,11,1,0,,,,,"24,99"
UNO,Ubisoft Entertainment ,Ubisoft Entertainment ,Não,19775,Mostly Positive,1,Sim,Sim,8 Dec 2016,11,1,11,INTEL-CORE-I3-530,4,NVIDIA-GTX-560,3,Free To Play
Oxygen Not Included,Klei Entertainment ,Klei Entertainment ,Sim,51990,Overwhelmingly Positive,3,Sim,Não,30 Jul 2019,4,4,0,,,,,"45,99"
The Isle,Afterthought LLC ,Afterthought LLC ,Sim,27093,Very Positive,1,Não,Sim,1 Dec 2015,1,1,0,outros,16,NVIDIA-GEFORCE-GTX-1070,25,"36,99"
Saints Row IV,Deep Silver Volition ,Deep Silver ,Não,48993,Very Positive,2,Sim,Sim,19 Aug 2013,8,1,8,outros,4,NVIDIA-GTX-560,10,"27,99"
Kerbal Space Program,Squad ,Private Division  ,Sim,67226,Overwhelmingly Positive,3,Sim,Não,27 Apr 2015,9,0,0,,,,,"72,99"
Europa Universalis IV,Paradox Development Studio ,Paradox Interactive ,Não,58609,Very Positive,3,Sim,Sim,13 Aug 2013,4,0,0,,,,,"69,99"
Dead Cells,Motion Twin ,Motion Twin ,Sim,53408,Overwhelmingly Positive,3,Sim,Não,6 Aug 2018,13,13,13,outros,4,NVIDIA-GTX-460,0.5,"47,49"
PC Building Simulator,"Claudiu Kiss, The Irregular Corporation ",The Irregular Corporation ,Sim,22392,Overwhelmingly Positive,1,Sim,Não,29 Jan 2019,10,0,0,,,,,"37,99"
Little Nightmares,Tarsier Studios ,BANDAI NAMCO Entertainment ,Não,13858,Overwhelmingly Positive,1,Sim,Não,27 Apr 2017,13,0,13,outros,8,GEFORCE-GTX-660,10,"79,99"
Project Zomboid,The Indie Stone ,The Indie Stone ,Sim,24997,Very Positive,3,Sim,Sim,8 Nov 2013,17,0,0,,,,,"24,98"
They Are Billions,Numantian Games ,Numantian Games ,Não,27310,Very Positive,1,Sim,Não,18 Jun 2019,12,1,12,outros,8,NVIDIA-GTX-670,4,"7,24"
Disco Elysium,ZA/UM ,ZA/UM ,Não,23713,Very Positive,2,Sim,Não,15 Oct 2019,5,1,5,INTEL-CORE-I7-,8,GEFORCE-1060,20,"75,49"
Ghostrunner,"One More Level, 3D Realms, Slipgate Ironworks™ ","505 Games, All in! Games ",Não,12777,Very Positive,1,Sim,Não,27 Oct 2020,13,1,1,INTEL-CORE-I7-6700K,8,GEFORCE-GTX-970,22,"99,00"
Grim Dawn,Crate Entertainment ,Crate Entertainment ,Sim,48214,Overwhelmingly Positive,1,Sim,Sim,25 Feb 2016,10,1,10,outros,6,GEFORCE-500,5,"45,99"
Saints Row: The Third,Volition ,Deep Silver ,Não,39269,Overwhelmingly Positive,2,Sim,Sim,17 Nov 2011,9,1,0,outros,4,outros,,"90,20"
ASTRONEER,System Era Softworks ,System Era Softworks ,Sim,58924,Very Positive,1,Sim,Sim,16 Dec 2016,13,0,0,outros,8,outros,4,"55,99"
Plants vs. Zombies: Battle for Neighborville™,PopCap ,Electronic Arts ,Não,1933,Very Positive,1,Sim,Sim,18 Oct 2019,14,0,0,outros,8,outros,15,"39,00"
Space Haven,Bugbyte Ltd. ,Bugbyte Ltd. ,Sim,3004,Very Positive,3,Sim,Não,21 May 2020,12,0,12,,,,,"9,59"
Need for Speed™ Hot Pursuit Remastered,Stellar Entertainment Limited ,Electronic Arts ,Não,730,Mostly Positive,1,Sim,Sim,6 Nov 2020,10,6,0,outros,8,GEFORCE-GTX-660,45,"149,00"
South Park™: The Stick of Truth™,Obsidian Entertainment ,Ubisoft ,Não,33295,Overwhelmingly Positive,1,Sim,Não,3 Mar 2014,8,1,8,outros,4,GEFORCE-9800,6,"3,73"
Far Cry® 4,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev ",Ubisoft ,Não,28458,Very Positive,1,Sim,Sim,18 Nov 2014,18,7,18,outros,8,NVIDIA-GEFORCE-GTX-680,30,"89,99"
Remnant: From the Ashes,Gunfire Games ,Perfect World Entertainment ,Não,28767,Very Positive,1,Sim,Sim,19 Aug 2019,9,6,9,INTEL-CORE-I5-4590,8,NVIDIA-GEFORCE-GTX-970,,"75,49"
Per Aspera,Tlön Industries ,Raw Fury ,Sim,793,Mixed,1,Sim,Não,3 Dec 2020,8,1,8,INTEL-CORE-I7-8700,16,NVIDIA-GEFORCE-GTX-1070,10,"23,47"
State of Decay 2: Juggernaut Edition,Undead Labs ,Xbox Game Studios ,Não,15070,Very Positive,1,Não,Sim,13 Mar 2020,8,1,8,outros,16,NVIDIA-GEFORCE-GTX-1650,30,"79,99"
Two Point Hospital,Two Point Studios ,SEGA ,Sim,15472,Overwhelmingly Positive,3,Sim,Sim,29 Aug 2018,10,3,0,INTEL-CORE-I5-6600,8,NVIDIA-GEFORCE-GTX-1060,6,"87,99"
Haven,The Game Bakers ,The Game Bakers ,Sim,254,Very Positive,1,Sim,Não,3 Dec 2020,9,1,9,,,,,"47,49"
Ori and the Blind Forest,Moon Studios GmbH ,Xbox Game Studios ,Não,37698,Overwhelmingly Positive,1,Sim,Não,11 Mar 2015,9,0,9,INTEL-CORE-I5-2300,4,GEFORCE-GTX-550-TI,8,Indisponível
Undertale,tobyfox ,tobyfox ,Sim,120845,Overwhelmingly Positive,3,Sim,Não,15 Sep 2015,2,0,0,outros,3,outros,0.2,"19,99"
Car Mechanic Simulator 2018,Red Dot Games ,PlayWay S.A. ,Não,28413,Overwhelmingly Positive,2,Sim,Sim,28 Jul 2017,17,0,17,INTEL-CORE-I5-3,8,NVIDIA-GEFORCE-GTX-970,20,"36,99"
A Way Out,Hazelight ,Electronic Arts ,Sim,6163,Very Positive,1,Sim,Sim,23 Mar 2018,8,1,8,INTEL-CORE-I5-3570K,16,NVIDIA-GTX-960,25,"89,00"
Northgard,Shiro Games ,Shiro Games ,Sim,25062,Very Positive,3,Sim,Sim,7 Mar 2018,11,1,11,outros,2,NVIDIA-GTX-660,1,"57,99"
Tropico 6,"Limbic Entertainment, Realmforge Studios ",Kalypso Media ,Não,10524,Very Positive,3,Sim,Sim,29 Mar 2019,10,8,10,outros,16,GEFORCE-GTX-960,16,"99,00"
Torchlight III,Echtra Inc. ,Perfect World Entertainment ,Não,6656,Mixed,1,Sim,Sim,13 Oct 2020,10,1,10,,,,,"83,49"
Superliminal,Pillow Castle ,Pillow Castle ,Sim,3548,Overwhelmingly Positive,3,Sim,Não,5 Nov 2020,14,1,14,outros,8,NVIDIA-GTX-1070,12,"37,99"
Danganronpa V3: Killing Harmony,"Spike Chunsoft Co., Ltd. ","Spike Chunsoft Co., Ltd. ",Não,8495,Very Positive,1,Sim,Não,25 Sep 2017,5,2,5,INTEL-CORE-I5-4690K,8,outros,26,"75,49"
