Nome,Desenvolvedor,Distribuidora,Indie,Quantidade de Review,Review Médio,Plataforma,Singleplayer,Multiplayer,Data de Lançamento,Linguagens Interface,Linguagens Dublagem,Linguagens Legenda,Processador,Memória Ram,Placa de Vídeo,Espaço em Disco,Preço
Sora,Orange_Juice ,Fruitbat Factory ,Sim,271,Very Positive,1,Sim,Não,5 Jan 2016,1,1,1,,,,,"18,59"
Tina: Swordswoman of the Scarlet Prison,shinachiku-castella ,Kagura Games ,Sim,233,Very Positive,1,Não,Não,1 Aug 2019,2,0,2,outros,4,NVIDIA-358,2,"28,99"
Sacrifice,Shiny Entertainment ,Interplay Inc. ,Não,417,Very Positive,1,Sim,Sim,1 Nov 2000,5,0,0,,,,,"19,99"
Legend Creatures(传奇生物),HideChara ,AplusGames ,Sim,2333,Overwhelmingly Positive,1,Sim,Não,31 Mar 2020,3,0,3,INTEL-CORE-I3-3240,2,GEFORCE-8800,0.2,"10,89"
Rainy Season,Inasa Fujio ,Inasa Fujio ,Sim,237,Very Positive,1,Sim,Não,1 May 2020,5,0,5,,,,,"8,69"
vrkshop,scopatgames ,scopatgames ,Não,81,Very Positive,1,Sim,Não,15 Jul 2020,1,0,0,,,,,"37,99"
Fantasy of Expedition,LW.C ,"LW.C, Milk Bottle Studio ",Sim,507,Mostly Positive,2,Não,Não,13 Sep 2020,5,0,5,,,,,"20,69"
Seven Kingdoms 2 HD,Enlight Software Limited ,Enlight Software Limited ,Sim,204,Very Positive,1,Não,Não,4 Feb 2015,1,0,0,,,,,"19,99"
Spinch,Queen Bee Games ,Akupara Games ,Sim,79,Very Positive,2,Sim,Não,3 Sep 2020,11,0,0,outros,4,,2,"28,99"
Tom Clancy's Ghost Recon® Desert Siege™,Red Storm Entertainment ,Ubisoft ,Não,57,Very Positive,1,Não,Não,26 Mar 2002,1,0,0,,,,,"9,99"
Might & Magic X - Legacy,Ubisoft ,Ubisoft ,Não,2467,Mixed,2,Sim,Não,23 Jan 2014,14,1,14,INTEL-CORE-2-,6,outros,10,"74,99"
Blackthorn Arena,PersonaeGame Studio ,CreativeForge Games ,Sim,2394,Mostly Positive,1,Sim,Não,17 Jan 2020,10,1,10,INTEL-CORE-I5-4690,16,GEFORCE-GTX-1060,25,"37,99"
Lethis - Path of Progress,Triskell Interactive ,Triskell Interactive ,Sim,948,Mixed,1,Sim,Não,25 Jun 2015,6,0,0,outros,4,outros,2,"36,99"
The Slater,Laina Interactive ,Laina Interactive ,Sim,338,Mixed,1,Sim,Não,20 Sep 2018,9,1,9,,,,,"28,99"
VR The Diner Duo,Whirlybird Games ,Whirlybird Games ,Não,374,Very Positive,1,Não,Sim,2 Nov 2016,1,0,0,,,,,"27,99"
12 is Better Than 6,Ink Stains Games ,HypeTrain Digital ,Sim,2549,Very Positive,3,Sim,Não,20 Nov 2015,6,0,6,,,,,"19,99"
The Forestale,Yorzh Aleksey ,Yorzh Aleksey ,Sim,13,Positive,1,Sim,Não,11 Apr 2019,2,2,2,,,,,"4,49"
Journey Of Life,Hyperion Studio Limited ,Hyperion Studio Limited ,Sim,409,Mixed,1,Sim,Sim,15 Apr 2018,1,1,0,INTEL-CORE-I7-4690K,8,outros,4,"28,99"
Master of Orion 1,SimTex ,Wargaming Labs ,Não,156,Very Positive,3,Sim,Não,22 Nov 1996,3,1,0,outros,0.512,outros,0.161,"11,99"
Yuki Onna | 雪女,Chilla's Art ,Chilla's Art ,Sim,70,Mostly Positive,1,Sim,Não,2 Jan 2020,2,0,2,,,,,"10,89"
Afghanistan '11,"Every Single Soldier, Retro Epic ",Slitherine Ltd. ,Sim,252,Mostly Positive,1,Não,Não,23 Mar 2017,1,1,0,,,,,"55,99"
Monobeno,Lose ,HIKARI FIELD ,Não,392,Very Positive,1,Não,Não,26 Jan 2018,4,1,3,,,,,"47,49"
First Strike: Final Hour,Blindflug Studios AG ,Blindflug Studios AG ,Sim,862,Very Positive,2,Sim,Não,31 May 2017,11,0,0,,,,,"23,99"
Eastside Hockey Manager,Sports Interactive ,SEGA ,Não,917,Very Positive,1,Sim,Não,1 Dec 2015,1,1,1,,,,,"36,99"
Battle Royale Tycoon,Endless Loop Studios ,Endless Loop Studios ,Sim,388,Mostly Positive,3,Não,Não,2 Sep 2019,9,0,0,,,,,"20,69"
VR Regatta - The Sailing Game,MarineVerse ,MarineVerse ,Não,79,Very Positive,1,Sim,Sim,30 Jan 2018,1,1,0,,,,,"41,38"
Dark Nights with Poe and Munro,D'Avekki Studios Ltd ,D'Avekki Studios Ltd ,Sim,163,Very Positive,2,Não,Não,19 May 2020,7,1,7,,,,,"26,89"
J.U.L.I.A.: Among the Stars,CBE software ,CBE software ,Sim,731,Very Positive,3,Sim,Não,12 Sep 2014,2,2,2,outros,2,outros,4,"36,99"
Acceleration of SUGURI 2,Orange_Juice ,Fruitbat Factory ,Sim,217,Very Positive,1,Sim,Sim,7 Mar 2018,7,0,7,outros,8,outros,4,"18,59"
~Azur Ring~virgin and slave's phylacteries,PinkPeachStudio ,PinkPeach ,Sim,79,Mixed,1,Sim,Não,17 Jul 2020,4,1,4,,,,,"36,99"
Crisis in the Kremlin,Kremlingames ,Kremlingames ,Sim,975,Very Positive,3,Não,Não,20 Mar 2017,2,0,0,outros,3,outros,2,"10,49"
Never give up!,Salamandra88 ,7DOTS ,Sim,89,Mostly Positive,3,Não,Não,29 Dec 2016,2,0,2,,,,,"6,29"
